Table 1
Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 27 Jan 2021 06:23:33 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1974-9049-BGD,1974,9049,Natural,Climatological,Drought,Drought,,,,Bangladesh,BGD,Southern Asia,Asia,Northwest,,,,,,,,,Km2,,,,,1974,10,,1974,,,,,,,,,,,19.2868744704009
1974-0034-BGD,1974,0034,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1974,7,,1974,7,,28700,,36000000,2000000,38000000,,,579200,19.2868744704009
1974-0147-BGD,1974,0147,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1974,3,,1974,3,,300,,,,,,,,19.2868744704009
1974-0025-CHN,1974,0025,Natural,Geophysical,Earthquake,Ground movement,,,Kill,China,CHN,Eastern Asia,Asia,"Yunnan, Sichuan",,,,,,,,7,Richter,28.4,104.1,02:25,,1974,5,11,1974,5,11,20000,,,,,,,,19.2868744704009
1974-0110-HKG,1974,0110,Natural,Meteorological,Storm,Tropical cyclone,,Carmen,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1974,10,17,1974,10,17,1,,1000,,1000,,,,19.2868744704009
1974-0111-HKG,1974,0111,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1974,10,28,1974,10,28,,,1400,,1400,,,,19.2868744704009
1974-0114-HKG,1974,0114,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1974,1,,1974,1,,,,,,,,,,19.2868744704009
1974-0115-HKG,1974,0115,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1974,4,,1974,4,,,,,,,,,,19.2868744704009
1974-0117-HKG,1974,0117,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1974,10,,1974,10,,,,,,,,,,19.2868744704009
1974-0002-IDN,1974,0002,Natural,Meteorological,Storm,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Situbondo (West Java),,,,,,,,,Kph,,,,,1974,1,,1974,1,,10,,2000,,2000,,,,19.2868744704009
1974-0045-IND,1974,0045,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"West Bengal, Madya Pradesh, Gujarat states",,,,,,,,,Kph,,,,,1974,8,15,1974,8,15,20,100,,,100,,,,19.2868744704009
1974-0122-IND,1974,0122,Natural,Meteorological,Storm,Tropical cyclone,,,Govern,India,IND,Southern Asia,Asia,Midnapore,,,,,,,,20,Kph,,,,,1974,5,29,1974,5,29,,,25000,,25000,,,,19.2868744704009
1975-0154-CHN,1975,0154,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,Henan province,Typhoon ,Broken Dam/Burst bank,,,No,No,,,Km2,,,,,1975,4,,1975,4,,20000,,11000000,,11000000,,,,21.0503075151625
1975-0017-CHN,1975,0017,Natural,Geophysical,Earthquake,Ground movement,,,Kill,China,CHN,Eastern Asia,Asia,Anshan Liaoning province,,,,,,,,7,Richter,40.641,122.58,20:06,,1975,2,4,1975,2,4,2000,,,,,,,,21.0503075151625
1975-0109-HKG,1975,0109,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Govern,Hong Kong,HKG,Eastern Asia,Asia," Kwun Tong, North Point",,,,,,,,,Kph,,,,,1975,4,28,1975,4,28,,,62,,62,,,,21.0503075151625
1975-0119-HKG,1975,0119,Natural,Meteorological,Storm,Tropical cyclone,,Elsie,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1975,10,12,1975,10,12,,46,671,1280,1997,,,,21.0503075151625
1975-0107-HKG,1975,0107,Natural,Hydrological,Flood,,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1975,5,,1975,5,,,,1912,,1912,,,,21.0503075151625
1975-0110-HKG,1975,0110,Natural,Hydrological,Flood,,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,"Saikung, Kowloon, Chai Wa",,,,,,,,,Km2,,,,,1975,4,30,1975,4,30,3,,1194,,1194,,,,21.0503075151625
1975-0112-HKG,1975,0112,Natural,Hydrological,Flood,,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1975,5,20,1975,5,20,,,,150,150,,,,21.0503075151625
1975-0014-IND,1975,0014,Natural,Geophysical,Earthquake,Ground movement,,,Kill,India,IND,Southern Asia,Asia,"Kinnaur district, Kashmir; Himachal Pradesh",,,,,,,,7,Richter,32.455,78.43,13:32,,1975,1,19,1975,1,19,47,,,,,,,,21.0503075151625
1975-0058-IND,1975,0058,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,India,IND,Southern Asia,Asia,Madras city,,,,,,,,,Kph,,,,,1975,11,24,1975,11,24,,,,2000,2000,,,,21.0503075151625
1975-0121-IND,1975,0121,Natural,Meteorological,Storm,Tropical cyclone,,,Govern,India,IND,Southern Asia,Asia, Maharashtra (Coast),,,,,,,,,Kph,,,,,1975,5,29,1975,5,29,,,,,,,,,21.0503075151625
1976-0028-AFG,1976,0028,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Afghanistan,AFG,Southern Asia,Asia,Shamagan province (Hindu Kush),,,,,,,,6,Richter,36.61,67.79,17:33,,1976,3,19,1976,3,19,50,,90000,,90000,,,,22.259601389149
1976-0031-AFG,1976,0031,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Herat, Farah, Kandahar",,,,Yes,,,,,Km2,,,,,1976,4,,1976,4,,51,,80000,,80000,,,,22.259601389149
1976-0034-BGD,1976,0034,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,Bangladesh,BGD,Southern Asia,Asia,Faridpur district,,,,,,,,,Kph,,,,,1976,4,10,1976,4,10,46,200,,,200,,,,22.259601389149
1976-0133-BGD,1976,0133,Natural,Meteorological,Storm,Convective storm,Tornado,,Govern,Bangladesh,BGD,Southern Asia,Asia,Dhamgarh (near Dacca),,,,,,,,,Kph,,,,,1976,5,9,1976,5,9,1,,,,,,,201,22.259601389149
1976-0041-BGD,1976,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Easr,,,,,,,,,Km2,,,,,1976,6,15,1976,6,15,168,,4000000,,4000000,,,,22.259601389149
1976-0050-CHN,1976,0050,Natural,Geophysical,Earthquake,Ground movement,,,Kill,China,CHN,Eastern Asia,Asia,"Tangshan, Pek.,Tientsin",,,,,,,,8,Richter,39.57,117.978,03:42,,1976,7,28,1976,7,28,242000,164000,,,164000,,,5600000,22.259601389149
1976-0055-CHN,1976,0055,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,China,CHN,Eastern Asia,Asia,"Szechwan, Chengtu",,,,,No,No,,,Richter,30.37 N,104.06 E,,,1976,8,16,1976,8,16,,,,,,,,,22.259601389149
1976-0138-HKG,1976,0138,Natural,Meteorological,Storm,Tropical cyclone,,Ruby,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,6,26,1976,6,26,5,2,,,2,,,,22.259601389149
1976-0139-HKG,1976,0139,Natural,Meteorological,Storm,Tropical cyclone,,Violet,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,7,22,1976,7,22,3,1,,,1,,,,22.259601389149
1976-0141-HKG,1976,0141,Natural,Meteorological,Storm,Tropical cyclone,,Ellen,Kill,Hong Kong,HKG,Eastern Asia,Asia,"Sau Mau Ping, Lantao Isl., Ping Shan, Ngau Tam Mei, Lo Wu",,,,,,,,,Kph,,,,,1976,8,24,1976,8,24,30,65,,2424,2489,,,,22.259601389149
1976-9134-HKG,1976,9134,Natural,Climatological,Drought,Drought,,,,Hong Kong,HKG,Eastern Asia,Asia,Hong Kong,,,,,,,,,Km2,,,,,1976,1,,1976,5,,,,,,,,,,22.259601389149
1976-0137-HKG,1976,0137,Natural,Hydrological,Flood,,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,"Sam Shing Hui, Tuen Mun (Southwest)",,,,,,,,,Km2,,,,,1976,6,,1976,6,,,,200,,200,,,,22.259601389149
1976-0043-IDN,1976,0043,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Wanena Region (Irian Jaya),,,,Yes,,,,7,Richter,-4.603,140.091,02:18,,1976,6,26,1976,6,26,420,,15000,,15000,,,25000,22.259601389149
1976-0047-IDN,1976,0047,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,,Yes,,,,7,Richter,-8.17,114.888,14:13,,1976,7,14,1976,7,14,573,4755,450000,,454755,,,195000,22.259601389149
1976-0071-IDN,1976,0071,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Irian Jaya, Jayawijaya (New guinea)",,,,,,,,7,Richter,-4.517,139.918,09:51,,1976,10,29,1976,10,29,133,,7000,,7000,,,,22.259601389149
1976-0171-IDN,1976,0171,Natural,Geophysical,Volcanic activity,Ash fall,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1976,,,1976,,,40,,,,,,,,22.259601389149
1976-0073-IDN,1976,0073,Natural,Hydrological,Flood,Flash flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"East Java, Lumajang",,,,Yes,,,,,Km2,,,,,1976,11,13,1976,11,13,163,20,20000,,20020,,,,22.259601389149
1976-0188-IDN,1976,0188,Natural,Meteorological,Storm,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,12,,1976,12,,25,,,,,,,,22.259601389149
1976-0063-IND,1976,0063,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Midnapore, Parganas districts (West Bengal), Balasore district (Orissa)",,,,,,,,,Kph,,,,,1976,9,8,1976,9,8,40,,,,,,,,22.259601389149
1976-0074-IND,1976,0074,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,Madras/Nellore (Andhra Pradesh),,,,,No,No,,,Kph,,,,,1976,11,22,1976,11,22,95,,300000,,300000,,,260000,22.259601389149
1976-0143-IND,1976,0143,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Gujarat, Maharastra",,,,,,,,,Kph,,,,,1976,5,29,1976,5,29,87,,250000,,250000,,,3378,22.259601389149
1976-0144-IND,1976,0144,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Krishna District, near Masulipatnam (Andhra Pradesh)",,,,,,,,,Kph,,,,,1976,11,3,1976,11,3,18,,,,,,,,22.259601389149
1976-0146-IND,1976,0146,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,Between Nellore and Kavali (Andhra Pradesh),,,,,,,,,Kph,,,,,1976,11,15,1976,11,15,30,,50000,,50000,,,3378,22.259601389149
1976-0147-IND,1976,0147,Natural,Meteorological,Storm,Tropical cyclone,,,Govern,India,IND,Southern Asia,Asia,"Neil & Havelock Isl. (Little Andaman, South Andaman Sea areas)",,,,,,,,,Kph,,,,,1976,12,29,1976,12,29,,,,,,,,,22.259601389149
1977-0106-IDN,1977,0106,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",,Tsunami/Tidal wave,,,,,,8,Richter,-11.164,118.378,,,1977,8,19,1977,8,19,185,75,3900,,3975,,,1200,23.7068509965271
1977-0124-BGD,1977,0124,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1977,10,6,1977,10,6,21,500,,,500,,,,23.7068509965271
1977-0060-BGD,1977,0060,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Mymensingh district,,,,,,,,,Kph,,,,,1977,4,24,1977,4,24,13,100,,,100,,,,23.7068509965271
