Table 1
Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 27 Jan 2021 06:23:33 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1977-0109-BGD,1977,0109,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1977,9,,1977,9,,260,,10461,,10461,,,,23.7068509965271
1977-0054-BGD,1977,0054,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Madaripur,,,,,,,,,Kph,,,,,1977,4,1,1977,4,1,600,10000,,,10000,,,50000,23.7068509965271
1977-0110-BGD,1977,0110,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,Brahmaputra Valley,,,,,,,,,Km2,,,,,1977,9,,1977,9,,5,,200000,,200000,,,,23.7068509965271
1977-0125-BGD,1977,0125,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1977,10,13,1977,10,13,8,,13650,,13650,,,,23.7068509965271
1977-0198-HKG,1977,0198,Natural,Meteorological,Storm,Tropical cyclone,,,Govern,Hong Kong,HKG,Eastern Asia,Asia,"Pokfulam, Kowloon",,,,,,,,,Kph,,,,,1977,7,4,1977,7,4,,,20,,20,,,,23.7068509965271
1977-0200-HKG,1977,0200,Natural,Meteorological,Storm,Tropical cyclone,,Freda,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1977,9,22,1977,9,22,1,37,,71,108,,,,23.7068509965271
1977-9195-HKG,1977,9195,Natural,Climatological,Drought,Drought,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1977,1,,1977,5,,,,,,,,,,23.7068509965271
1977-0196-HKG,1977,0196,Natural,Hydrological,Flood,,,,Govern,Hong Kong,HKG,Eastern Asia,Asia,"Lam Tin, Lei U Mun, Sau Mau Ping",,,,,,,,,Km2,,,,,1977,6,23,1977,6,23,,,37,60,97,,,,23.7068509965271
1977-0251-IDN,1977,0251,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Indonesia,IDN,South-Eastern Asia,Asia,East Timor,,,,,No,No,,,Richter,,,,,1977,8,27,1977,8,27,2,25,,,25,,,,23.7068509965271
1977-0091-IDN,1977,0091,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Kph,,,,,1977,7,30,1977,7,30,1,60,3000,,3060,,,,23.7068509965271
1977-0013-IDN,1977,0013,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,,,,,,Vaccinated,,,,,1977,1,1,1977,1,1,37,,29942,,29942,,,,23.7068509965271
1977-0138-IDN,1977,0138,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,,,,,,,,Vaccinated,,,,,1977,12,,1977,12,,80,,,,,,,,23.7068509965271
1977-0014-IDN,1977,0014,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Jakarta, East Java",,,,,,,,,Km2,,,,,1977,1,,1977,1,,10,,260000,,260000,,,,23.7068509965271
1977-0043-IDN,1977,0043,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Km2,,,,,1977,2,,1977,2,,,,25000,,25000,,,,23.7068509965271
1977-0046-IDN,1977,0046,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Bandung district, Java",,,,,,,,,Km2,,,,,1977,3,,1977,3,,12,,5000,,5000,,,,23.7068509965271
1977-0094-IND,1977,0094,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Ganges region,,,,,,,,,Km2,,,,,1977,8,,1977,8,,500,,1000000,,1000000,,,,23.7068509965271
1977-0133-IND,1977,0133,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Tamil Nadu, Andhra Pradesh, Kerala",,,,Yes,,,,,Kph,,,,,1977,11,12,1977,11,12,14204,,9037400,5432400,14469800,,,498535,23.7068509965271
1977-0201-IND,1977,0201,Natural,Meteorological,Storm,Tropical cyclone,,,Govern,India,IND,Southern Asia,Asia,"North of Nellore district, South of Prakasam district (Andhra Pradesh)",,,,,,,,,Kph,,,,,1977,10,27,1977,10,27,2,,10000,,10000,,,,23.7068509965271
1977-0012-IND,1977,0012,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Affect,India,IND,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1977,1,1,1977,1,1,,,9091,,9091,,,,23.7068509965271
1978-0083-AFG,1978,0083,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Central and Eastern regions, Pakistan border",,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,120,140,264044,7500,271684,,,52000,25.5159153234703
1978-0097-BGD,1978,0097,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Western,,,,,,,,,Km2,,,,,1978,8,,1978,8,,17,,400000,,400000,,,,25.5159153234703
1978-0061-BGD,1978,0061,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1978,5,,1978,5,,129,,,,,,,,25.5159153234703
1978-0051-BGD,1978,0051,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Bay of Bengal,,,,,,,,,Kph,,,,,1978,4,9,1978,4,9,1000,,,,,,,,25.5159153234703
1978-0068-BGD,1978,0068,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Jessore district,,,,,No,No,,,Kph,,,,,1978,5,5,1978,5,5,30,100,,,100,,,,25.5159153234703
1978-0096-BHR,1978,0096,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Bahrain,BHR,Western Asia,Asia,,,,,,,,,,Vaccinated,,,,,1978,8,,1978,8,,111,,,,,,,,25.5159153234703
1978-0038-IDN,1978,0038,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Simelu Island,,,,,,,,,Vaccinated,,,,,1978,3,,1978,3,,82,,,,,,,,25.5159153234703
1978-0088-IDN,1978,0088,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,,,,,,Vaccinated,,,,,1978,7,,1978,7,,11,,70,,70,,,,25.5159153234703
1978-0014-IDN,1978,0014,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,,,,,,,,Km2,,,,,1978,1,,1978,1,,41,,7000,,7000,,,,25.5159153234703
1978-0064-IDN,1978,0064,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"West Achem, North Sumatra",,,,,,,,,Km2,,,,,1978,5,,1978,5,,21,,8000,,8000,,,,25.5159153234703
1978-0044-IND,1978,0044,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,India,IND,Southern Asia,Asia,New Delhi,,,,,,,,,Kph,,,,,1978,3,17,1978,3,17,26,700,,,700,,,,25.5159153234703
1978-0055-IND,1978,0055,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,India,IND,Southern Asia,Asia,Orissa,,,,,,,,,Kph,,,,,1978,4,16,1978,4,16,500,400,1000,,1400,,,,25.5159153234703
1978-0056-IND,1978,0056,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,India,IND,Southern Asia,Asia,West Bengal,,,,,,,,,Kph,,,,,1978,4,16,1978,4,16,100,,100,,100,,,,25.5159153234703
1978-0063-IND,1978,0063,Natural,Meteorological,Extreme temperature ,Heat wave,,,Kill,India,IND,Southern Asia,Asia,,,,,,,,,,°C,,,,,1978,5,,1978,5,,150,,,,,,,,25.5159153234703
1978-0012-IND,1978,0012,Natural,Biological,Epidemic,Viral disease,,Encephalitis,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,,,,,,Vaccinated,,,,,1978,1,1,1978,1,1,45,,,,,,,,25.5159153234703
1978-0074-IND,1978,0074,Natural,Biological,Epidemic,Viral disease,,,Kill,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,,Vaccinated,,,,,1978,6,,1978,6,,48,,1000,,1000,,,,25.5159153234703
1970-0034-IND,1970,0034,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"North-East, Western, North",,,,Yes,,,,,Km2,,,,,1970,7,,1970,7,,627,1000,10000000,350000,10351000,,,101200,15.1863354613098
1970-0065-IND,1970,0065,Natural,Meteorological,Storm,,,,OFDA,India,IND,Southern Asia,Asia,Madras city (Tamil Nadu),,,,,,,,,Kph,,,,,1970,11,19,1970,11,19,,,,2000,2000,,,,15.1863354613098
1970-0105-IND,1970,0105,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Gujarat, Orissa states",,,,,,,,,Km2,,,,,1970,9,2,1970,9,2,400,,,,,,,,15.1863354613098
1970-0038-IRN,1970,0038,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Karnaveh, Marev",,,,,,,,7,Richter,37.733,55.885,,,1970,7,30,1970,7,30,176,,10000,,10000,,,8000,15.1863354613098
1970-0014-IRN,1970,0014,Natural,Hydrological,Landslide,Landslide,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,North East of Teheran,,,,,,,,,,,,,,1970,1,27,1970,1,27,43,,100,,100,,,,15.1863354613098
1970-0071-ISR,1970,0071,Natural,Hydrological,Landslide,Landslide,,,Kill,Israel,ISR,Western Asia,Asia,Neot Hakikar,,,,,,,,,,,,,,1970,12,30,1970,12,30,20,,13,,13,,,,15.1863354613098
1970-0036-KOR,1970,0036,Natural,Meteorological,Storm,,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,"East, South Esat coast",,,,,,,,,Kph,,,,,1970,7,3,1970,7,3,39,,2500,,2500,,,5100,15.1863354613098
1970-0048-KOR,1970,0048,Natural,Hydrological,Flood,,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1970,9,15,1970,9,15,28,,7000,,7000,,,,15.1863354613098
1970-0046-MMR,1970,0046,Natural,Hydrological,Flood,Flash flood,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,Pyinmana,,,,,,,,,Km2,,,,,1970,9,8,1970,9,8,90,,,,,,,,15.1863354613098
1970-0070-MYS,1970,0070,Natural,Hydrological,Flood,,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,"West Malaysia, Capital",,,,Yes,,,,,Km2,,,,,1970,12,26,1970,12,26,61,,243000,,243000,,,37000,15.1863354613098
1970-0052-NPL,1970,0052,Natural,Hydrological,Landslide,Landslide,,,Kill,Nepal,NPL,Southern Asia,Asia,Lete,,,,,,,,,,,,,,1970,9,27,1970,9,27,21,,,,,,,,15.1863354613098
1970-0040-NPL,1970,0040,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1970,8,15,1970,8,15,350,,20000,,20000,,,,15.1863354613098
1970-0004-PHL,1970,0004,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Richter,15.791,121.630,,,1970,4,7,1970,4,7,14,200,,,200,,,,15.1863354613098
1970-0043-PHL,1970,0043,Natural,Meteorological,Storm,Tropical cyclone,,Fran & Georgia,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Bulacan, Pampg (Manila) - (2) Aurora (Quezon province)",,,,Yes,,,,,Kph,,,,,1970,8,31,1970,8,31,137,,78000,67200,145200,,,2353,15.1863354613098
1970-0056-PHL,1970,0056,Natural,Meteorological,Storm,Tropical cyclone,,"Joan, Kate",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Bicol area, (2) Mindanao",,,,Yes,,,,,Kph,,,,,1970,10,13,1970,10,13,1551,985,1214000,,1214985,,,85500,15.1863354613098
1970-0064-PHL,1970,0064,Natural,Meteorological,Storm,Tropical cyclone,,Patsy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Manila (Quezon province),,,,Yes,,,,,Kph,,,,,1970,11,19,1970,11,19,786,2075,430000,,432075,,,97656,15.1863354613098
1970-0076-PHL,1970,0076,Natural,Meteorological,Storm,Tropical cyclone,,Oyang,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,4,1970,9,4,42,,,,,,,,15.1863354613098
1970-0077-PHL,1970,0077,Natural,Meteorological,Storm,Tropical cyclone,,Katy (Pitang),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,8,1970,9,8,,,1326,,1326,,,598,15.1863354613098
1970-0078-PHL,1970,0078,Natural,Meteorological,Storm,Tropical cyclone,,Sening,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,12,1970,9,12,575,1593,,,1593,,,12110,15.1863354613098
1970-0079-PHL,1970,0079,Natural,Meteorological,Storm,Tropical cyclone,,Titang,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,16,1970,9,16,631,76,,,76,,,47397,15.1863354613098
1970-0080-PHL,1970,0080,Natural,Meteorological,Storm,Tropical cyclone,,Yoling,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,11,17,1970,11,17,80,248,17044,,17292,,,12785,15.1863354613098
1970-0019-TUR,1970,0019,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Turkey,TUR,Western Asia,Asia,Gediz,,,,Yes,,,,7,Richter,39.098,29.570,,,1970,3,28,1970,3,28,1086,2776,80672,,83448,,,55600,15.1863354613098
1971-0037-IND,1971,0037,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1971,6,,1971,6,,1023,,,,,,,530000,15.8382546266338
1971-0052-IND,1971,0052,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,,Km2,,,,,1971,9,9,1971,9,9,300,,35000,,35000,,,,15.8382546266338
1971-0116-IND,1971,0116,Natural,Hydrological,Flood,,,,Affect,India,IND,Southern Asia,Asia,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",,,,,,,,2600,Km2,,,,,1971,6,,1971,6,,,,130000,,130000,,,,15.8382546266338
1971-0047-JPN,1971,0047,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Japan,JPN,Eastern Asia,Asia,Kyushu Island,,,,,,,,,Kph,,,,,1971,8,5,1971,8,5,135,,,,,,,,15.8382546266338
1971-0043-KOR,1971,0043,Natural,Meteorological,Storm,,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,Seoul,,,,,,,,,Kph,,,,,1971,7,27,1971,7,27,64,,50,,50,,,,15.8382546266338
1971-0128-KOR,1971,0128,Natural,Meteorological,Storm,,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1971,7,,1971,7,,45,,,,,,,,15.8382546266338
1971-0048-LAO,1971,0048,Natural,Hydrological,Flood,,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Vientiane,,,,Yes,,,,,Km2,,,,,1971,8,17,1971,8,17,14,,100000,15000,115000,,,200,15.8382546266338
1971-0026-PHL,1971,0026,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, Palawan",,,,,,,,,Kph,,,,,1971,4,22,1971,4,22,95,,,,,,,700,15.8382546266338
1971-0036-PHL,1971,0036,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Herming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1971,5,24,1971,5,24,57,3,,32500,32503,,,590,15.8382546266338
1971-0054-PHL,1971,0054,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1971,10,2,1971,10,2,37,,,12000,12000,,,,15.8382546266338
1971-0055-PHL,1971,0055,Natural,Meteorological,Storm,Tropical cyclone,,Gloria,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1971,10,9,1971,10,9,57,8,,2000,2008,,,,15.8382546266338
1971-0030-TUR,1971,0030,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Turkey,TUR,Western Asia,Asia,Burdur,,,,,,,,6,Richter,37.6,29.8,09:25,,1971,5,12,1971,5,12,57,,,,,,,,15.8382546266338
1971-0034-TUR,1971,0034,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Turkey,TUR,Western Asia,Asia,"Bingol, Erzincan",,,,Yes,,,,7,Richter,38.934,40.653,19:43,,1971,5,22,1971,5,22,878,1200,60000,27465,88665,,,5000,15.8382546266338
1972-0058-IND,1972,0058,Natural,Meteorological,Storm,,,,Kill,India,IND,Southern Asia,Asia,"Srinagar, Kashmir",,,,,,,,,Kph,,,,,1972,10,21,1972,10,21,50,,75,,75,,,,16.3565247541826
1972-0021-IRN,1972,0021,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1972,2,10,1972,2,10,60,,,,,,,,16.3565247541826
1972-0027-IRN,1972,0027,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Qir, Karzin, Jahrom, Firuzabad (Southwest Iran)",,,,Yes,,,,7,Richter,28.415,52.765,05:36,,1972,4,10,1972,4,10,5057,1332,22126,,23458,,,1000,16.3565247541826
1972-0043-JPN,1972,0043,Natural,Hydrological,Landslide,Landslide,,,Kill,Japan,JPN,Eastern Asia,Asia,Oimawashi,,,,,,,,,,,,,,1972,7,5,1972,7,5,80,,,,,,,,16.3565247541826
1972-0053-JPN,1972,0053,Natural,Meteorological,Storm,Tropical cyclone,,Helen,Kill,Japan,JPN,Eastern Asia,Asia,Honshu,,,,,,,,,Kph,,,,,1972,9,16,1972,9,16,50,,,,,,,,16.3565247541826
1972-0147-JPN,1972,0147,Natural,Hydrological,Flood,,,,Kill,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,7,3,1972,7,3,458,,,,,,,,16.3565247541826
1972-0049-KOR,1972,0049,Natural,Hydrological,Flood,Riverine flood,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,"North, Central",,,,Yes,,,,,Km2,,,,,1972,8,19,1972,8,19,672,785,800000,326000,1126785,,,72800,16.3565247541826
1972-0052-KOR,1972,0052,Natural,Hydrological,Flood,,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,9,13,1972,9,13,75,54,1500,,1554,,,634,16.3565247541826
1972-0047-NPL,1972,0047,Natural,Hydrological,Landslide,Landslide,,,Kill,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,,,,,,1972,8,7,1972,8,7,105,,,,,,,,16.3565247541826
1972-9075-NPL,1972,9075,Natural,Climatological,Drought,Drought,,,,Nepal,NPL,Southern Asia,Asia,Hill area,,,,Yes,No,No,,,Km2,,,,,1972,,,1973,,,,,900000,,900000,,,10000,16.3565247541826
1972-0132-PAK,1972,0132,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Tangir, Gupis, Rawalpindi, Peshawar",,,,,,,,6,Richter,36,73.4,21:48,,1972,9,3,1972,9,3,100,,5000,,5000,,,,16.3565247541826
1972-0015-PHL,1972,0015,Natural,Meteorological,Storm,Tropical cyclone,,Kit (Asiang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Visayan Islands,,,,,,,,,Kph,,,,,1972,1,6,1972,1,6,204,28,,,28,,,23000,16.3565247541826
1972-0040-PHL,1972,0040,Natural,Meteorological,Storm,Tropical cyclone,,Ora,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South Luzon,,,,,,,,,Kph,,,,,1972,6,23,1972,6,23,131,,385000,,385000,,,15000,16.3565247541826
1972-0064-PHL,1972,0064,Natural,Meteorological,Storm,Tropical cyclone,,Therese (Undang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"South, Misamis province",,,,Yes,,,,,Kph,,,,,1972,12,3,1972,12,3,100,650,80000,27000,107650,,,10000,16.3565247541826
1972-0042-PHL,1972,0042,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Central, NorthLuzon",,,,Yes,,,,,Km2,,,,,1972,7,,1972,7,,653,,2400000,370647,2770647,,,220000,16.3565247541826
1972-0020-TUR,1972,0020,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,,Kph,,,,,1972,2,4,1972,2,4,30,,,,,,,,16.3565247541826
1973-0135-JPN,1973,0135,Natural,Meteorological,Storm,,,,Kill,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1973,11,,1973,11,,101,,,,,,,,17.3669860176555
1973-0033-PAK,1973,0033,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sind",,,,Yes,,,,,Km2,,,,,1973,8,,1973,8,,474,,4800000,,4800000,,,661500,17.3669860176555
1973-0017-PHL,1973,0017,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Tablas Is., Quezon city, Calaug, Lopez, Guiayangan",,,,,,,,7,Richter,13.372,122.787,16:30,,1973,3,17,1973,3,17,14,64,,,64,,,450,17.3669860176555
1973-0042-PHL,1973,0042,Natural,Meteorological,Storm,Tropical cyclone,,Nora (Luming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Northern Luzon,,,,,,,,,Kph,,,,,1973,10,4,1973,10,4,26,,,,,,,2000,17.3669860176555
1973-0044-PHL,1973,0044,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central Luzon,,,,,,,,,Kph,,,,,1973,10,14,1973,10,14,50,,,45000,45000,,,5000,17.3669860176555
1973-0049-PHL,1973,0049,Natural,Meteorological,Storm,Tropical cyclone,,Vera,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Central, (2) Capiz province",,,,Yes,,,,,Kph,,,,,1973,11,20,1973,11,20,270,24,3400000,,3400024,,,,17.3669860176555
1973-0083-PHL,1973,0083,Natural,Hydrological,Flood,,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Cotabato,,,,,,,,,Km2,,,,,1973,9,7,1973,9,7,3,,5000,,5000,,,493,17.3669860176555
1974-0026-JPN,1974,0026,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Japan,JPN,Eastern Asia,Asia,"Izu-Hanto, Nakagi",,Tsunami/Tidal wave,,,,,,7,Richter,34.522,138.74,08:33,,1974,5,9,1974,5,9,30,73,,,73,,,,19.2868744704009
1974-0063-PAK,1974,0063,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Pakistan,PAK,Southern Asia,Asia,"North Indus R. Valley, Balakot, Patan",,Tsunami/Tidal wave,,Yes,,,,6,Richter,35.1,72.9,17:28,,1974,12,28,1974,12,28,4700,15000,30000,5200,50200,,,3255,19.2868744704009
1974-0128-IND,1974,0128,Natural,Hydrological,Flood,,,,Govern,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1974,6,,1974,6,,,,,,,,,,19.2868744704009
1974-0129-IND,1974,0129,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",,,,,,,,,Km2,,,,,1974,7,2,1974,7,2,260,,,,,,,,19.2868744704009
1974-0021-JPN,1974,0021,Natural,Hydrological,Landslide,Landslide,,,Kill,Japan,JPN,Eastern Asia,Asia,Okuura,,,,,,,,,,,,,,1974,4,16,1974,4,16,17,,,,,,,,19.2868744704009
1974-0035-JPN,1974,0035,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Japan,JPN,Eastern Asia,Asia,"West, South",,,,,,,,,Kph,,,,,1974,7,6,1974,7,6,33,50,,,50,,,,19.2868744704009
1974-0162-JPN,1974,0162,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Japan,JPN,Eastern Asia,Asia,Yui,,,,,,,,,Kph,,,,,1974,5,29,1974,5,29,143,,,,,,,,19.2868744704009
1974-0037-JPN,1974,0037,Natural,Meteorological,Storm,,,,Kill,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1974,7,11,1974,7,11,108,,,,,,,400000,19.2868744704009
1974-0158-LKA,1974,0158,Natural,Hydrological,Landslide,Landslide,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,,,,,,,,,,,,,,,1974,7,,1974,7,,27,,,,,,,,19.2868744704009
1974-0040-MMR,1974,0040,Natural,Hydrological,Flood,Riverine flood,,,Affect,Myanmar,MMR,South-Eastern Asia,Asia,"Myitkyina, Mandalay, Sagaing, Nyaungu, Minbu, Prome, Henzada (Central Burma)",,,,Yes,,,,,Km2,,,,,1974,7,15,1974,7,15,,,1400000,,1400000,,,,19.2868744704009
1974-0029-PHL,1974,0029,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Bising),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1974,6,8,1974,6,8,106,,1367,,1367,,,1000,19.2868744704009
1974-0038-PHL,1974,0038,Natural,Meteorological,Storm,Tropical cyclone,,Ivy (Iliang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1974,7,17,1974,7,17,21,16,2400,140,2556,,,2000,19.2868744704009
